UnitCode,ParkName,Location,AccountYear,MonthName,MonthNum,TripDay,Date,CommercialActivity,Park,Preserve,BC,FC,Coast,Wilderness,UserDays
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,August,8,5,2007-08-05,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,29
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,August,8,8,2007-08-08,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,16
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,August,8,13,2007-08-13,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,41
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,August,8,16,2007-08-16,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,39
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,August,8,18,2007-08-18,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,41
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,August,8,21,2007-08-21,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,24
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,August,8,26,2007-08-26,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,64
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,August,8,29,2007-08-29,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,37
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,July,7,2,2007-07-02,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,44
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,July,7,7,2007-07-07,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,55
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,July,7,10,2007-07-10,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,43
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,July,7,15,2007-07-15,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,85
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,July,7,18,2007-07-18,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,52
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,July,7,23,2007-07-23,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,39
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,July,7,26,2007-07-26,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,43
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,July,7,31,2007-07-31,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,13
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,June,6,1,2007-06-01,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,42
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,June,6,9,2007-06-09,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,20
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,June,6,12,2007-06-12,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,30
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,June,6,17,2007-06-17,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,26
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,June,6,20,2007-06-20,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,18
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,June,6,25,2007-06-25,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,22
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,June,6,28,2007-06-28,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,12
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,October,10,1,2007-10-01,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,6
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,September,9,5,2007-09-05,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,28
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,September,9,10,2007-09-10,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,5
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,August,8,3,2007-08-03,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,13
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,August,8,5,2007-08-05,Air Taxi,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,8
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,August,8,6,2007-08-06,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,22
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,August,8,11,2007-08-11,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,38
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,August,8,14,2007-08-14,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,48
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,August,8,19,2007-08-19,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,66
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,August,8,24,2007-08-24,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,28
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,August,8,27,2007-08-27,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,49
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,July,7,1,2007-07-01,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,78
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,July,7,4,2007-07-04,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,36
ALAG,Alagnak Wild River,Above Braids [ALAG],2007,July,7,9,2007-07-09,Guided Sportfishing,FALSE,TRUE,TRUE,FALSE,FALSE,Designated,62
